系列,品項名稱,價格 (元),備註 / 口味選擇
炒飯,肉絲蛋炒飯,70,可選：原味、咖哩、辣味、九層塔
炒飯,香腸蛋炒飯,70,可選：原味、咖哩、辣味、九層塔
炒飯,火腿蛋炒飯,70,可選：原味、咖哩、辣味、九層塔
炒飯,培根蛋炒飯,70,可選：原味、咖哩、辣味、九層塔
炒飯,雞肉蛋炒飯,80,可選：原味、咖哩、辣味、九層塔
炒飯,牛肉蛋炒飯,80,可選：原味、咖哩、辣味、九層塔
炒飯,羊肉蛋炒飯,80,可選：原味、咖哩、辣味、九層塔
炒飯,燒肉蛋炒飯,80,可選：原味、咖哩、辣味、九層塔
炒飯,叉燒蛋炒飯,80,可選：原味、咖哩、辣味、九層塔
炒飯,蝦仁蛋炒飯,80,可選：原味、咖哩、辣味、九層塔
炒飯,花枝蛋炒飯,80,可選：原味、咖哩、辣味、九層塔
炒飯,海鮮蛋炒飯,85,可選：原味、咖哩、辣味、九層塔
炒飯,海陸蛋炒飯,85,可選：原味、咖哩、辣味、九層塔
蓋飯,豬排蓋飯,70,可選：黑胡椒、蘑菇
蓋飯,豬排蛋蓋飯,80,可選：黑胡椒、蘑菇
蓋飯,雞柳蛋蓋飯,80,可選：黑胡椒、蘑菇
蓋飯,豬柳蛋蓋飯,80,可選：黑胡椒、蘑菇
蓋飯,牛肉蛋蓋飯,85,可選：黑胡椒、蘑菇
蓋飯,蛋蓋飯,45,可選：黑胡椒、蘑菇
蓋飯,鐵板麵,50,可選：黑胡椒、蘑菇
蓋飯,海客餐,75,
蓋飯,燒肉蓋飯,75,加蛋 85 元
蓋飯,雞腿蓋飯,80,加蛋 90 元
蓋飯,百頁豆腐飯,75,加蛋 85 元
蓋飯,麻婆豆腐飯,75,加蛋 85 元
蓋飯,塔香雞肉蛋蓋飯,85,
蓋飯,塔香牛肉蛋蓋飯,85,
蓋飯,塔香豬柳蛋蓋飯,85,
蓋飯,泡菜蓋飯 (雞/豬/牛/羊),85,請註明肉類
蓋飯,咖哩豆腐飯 (雞/豬/牛/羊),80,請註明肉類
蓋飯,醬燒豆腐飯 (雞/豬/牛/羊),80,請註明肉類
飯類,肉燥飯,40,加蛋 50 元
飯類,香腸飯,40,加蛋 50 元
飯類,火腿飯,40,加蛋 50 元